NACE Rev.2 grouped hierarchy (Section > Division > Group > Class),,,,,,,,,,,,,,,,
"Use the +/- outline controls at left to expand Sections to Divisions, Divisions to Groups, and Groups to Classes.",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
level_depth,level,node_code,node_name,node_key,parent_key,section_code,section_name,division_code,division_name,group_code,group_name,class_code,class_name,hierarchy_path_codes,hierarchy_path_names,source_row_number
4,class,01.63,Post-harvest crop activities,class:01.63,group:01.6,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities,01.63,Post-harvest crop activities,A | 01 | 01.6 | 01.63,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Support activities to agriculture and post-harvest crop activities | Post-harvest crop activities",42
4,class,01.64,Seed processing for propagation,class:01.64,group:01.6,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.6,Support activities to agriculture and post-harvest crop activities,01.64,Seed processing for propagation,A | 01 | 01.6 | 01.64,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Support activities to agriculture and post-harvest crop activities | Seed processing for propagation",43
3,group,01.7,"Hunting, trapping and related service activities",group:01.7,division:01,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.7,"Hunting, trapping and related service activities",,,A | 01 | 01.7,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Hunting, trapping and related service activities",44
4,class,01.70,"Hunting, trapping and related service activities",class:01.70,group:01.7,A,"AGRICULTURE, FORESTRY AND FISHING",01,"Crop and animal production, hunting and related service activities",01.7,"Hunting, trapping and related service activities",01.70,"Hunting, trapping and related service activities",A | 01 | 01.7 | 01.70,"AGRICULTURE, FORESTRY AND FISHING | Crop and animal production, hunting and related service activities | Hunting, trapping and related service activities | Hunting, trapping and related service activities",45
2,division,02,Forestry and logging,division:02,section:A,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,,,,,A | 02,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging",46
3,group,02.1,Silviculture and other forestry activities,group:02.1,division:02,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.1,Silviculture and other forestry activities,,,A | 02 | 02.1,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Silviculture and other forestry activities",47
4,class,02.10,Silviculture and other forestry activities,class:02.10,group:02.1,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.1,Silviculture and other forestry activities,02.10,Silviculture and other forestry activities,A | 02 | 02.1 | 02.10,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Silviculture and other forestry activities | Silviculture and other forestry activities",48
3,group,02.2,Logging,group:02.2,division:02,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.2,Logging,,,A | 02 | 02.2,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Logging",49
4,class,02.20,Logging,class:02.20,group:02.2,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.2,Logging,02.20,Logging,A | 02 | 02.2 | 02.20,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Logging | Logging",50
3,group,02.3,Gathering of wild growing non-wood products,group:02.3,division:02,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.3,Gathering of wild growing non-wood products,,,A | 02 | 02.3,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Gathering of wild growing non-wood products",51
4,class,02.30,Gathering of wild growing non-wood products,class:02.30,group:02.3,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.3,Gathering of wild growing non-wood products,02.30,Gathering of wild growing non-wood products,A | 02 | 02.3 | 02.30,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Gathering of wild growing non-wood products | Gathering of wild growing non-wood products",52
3,group,02.4,Support services to forestry,group:02.4,division:02,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.4,Support services to forestry,,,A | 02 | 02.4,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Support services to forestry",53
4,class,02.40,Support services to forestry,class:02.40,group:02.4,A,"AGRICULTURE, FORESTRY AND FISHING",02,Forestry and logging,02.4,Support services to forestry,02.40,Support services to forestry,A | 02 | 02.4 | 02.40,"AGRICULTURE, FORESTRY AND FISHING | Forestry and logging | Support services to forestry | Support services to forestry",54
2,division,03,Fishing and aquaculture,division:03,section:A,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,,,,,A | 03,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture",55
3,group,03.1,Fishing,group:03.1,division:03,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.1,Fishing,,,A | 03 | 03.1,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Fishing",56
4,class,03.11,Marine fishing,class:03.11,group:03.1,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.1,Fishing,03.11,Marine fishing,A | 03 | 03.1 | 03.11,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Fishing | Marine fishing",57
4,class,03.12,Freshwater fishing,class:03.12,group:03.1,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.1,Fishing,03.12,Freshwater fishing,A | 03 | 03.1 | 03.12,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Fishing | Freshwater fishing",58
3,group,03.2,Aquaculture,group:03.2,division:03,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.2,Aquaculture,,,A | 03 | 03.2,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Aquaculture",59
4,class,03.21,Marine aquaculture,class:03.21,group:03.2,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.2,Aquaculture,03.21,Marine aquaculture,A | 03 | 03.2 | 03.21,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Aquaculture | Marine aquaculture",60
4,class,03.22,Freshwater aquaculture,class:03.22,group:03.2,A,"AGRICULTURE, FORESTRY AND FISHING",03,Fishing and aquaculture,03.2,Aquaculture,03.22,Freshwater aquaculture,A | 03 | 03.2 | 03.22,"AGRICULTURE, FORESTRY AND FISHING | Fishing and aquaculture | Aquaculture | Freshwater aquaculture",61
1,section,B,MINING AND QUARRYING,section:B,,B,MINING AND QUARRYING,,,,,,,B,MINING AND QUARRYING,62
2,division,05,Mining of coal and lignite,division:05,section:B,B,MINING AND QUARRYING,05,Mining of coal and lignite,,,,,B | 05,MINING AND QUARRYING | Mining of coal and lignite,63
3,group,05.1,Mining of hard coal,group:05.1,division:05,B,MINING AND QUARRYING,05,Mining of coal and lignite,05.1,Mining of hard coal,,,B | 05 | 05.1,MINING AND QUARRYING | Mining of coal and lignite | Mining of hard coal,64
4,class,05.10,Mining of hard coal,class:05.10,group:05.1,B,MINING AND QUARRYING,05,Mining of coal and lignite,05.1,Mining of hard coal,05.10,Mining of hard coal,B | 05 | 05.1 | 05.10,MINING AND QUARRYING | Mining of coal and lignite | Mining of hard coal | Mining of hard coal,65
3,group,05.2,Mining of lignite,group:05.2,division:05,B,MINING AND QUARRYING,05,Mining of coal and lignite,05.2,Mining of lignite,,,B | 05 | 05.2,MINING AND QUARRYING | Mining of coal and lignite | Mining of lignite,66
4,class,05.20,Mining of lignite,class:05.20,group:05.2,B,MINING AND QUARRYING,05,Mining of coal and lignite,05.2,Mining of lignite,05.20,Mining of lignite,B | 05 | 05.2 | 05.20,MINING AND QUARRYING | Mining of coal and lignite | Mining of lignite | Mining of lignite,67
2,division,06,Extraction of crude petroleum and natural gas,division:06,section:B,B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,,,,,B | 06,MINING AND QUARRYING | Extraction of crude petroleum and natural gas,68
3,group,06.1,Extraction of crude petroleum,group:06.1,division:06,B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.1,Extraction of crude petroleum,,,B | 06 | 06.1,MINING AND QUARRYING | Extraction of crude petroleum and natural gas | Extraction of crude petroleum,69
4,class,06.10,Extraction of crude petroleum,class:06.10,group:06.1,B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.1,Extraction of crude petroleum,06.10,Extraction of crude petroleum,B | 06 | 06.1 | 06.10,MINING AND QUARRYING | Extraction of crude petroleum and natural gas | Extraction of crude petroleum | Extraction of crude petroleum,70
3,group,06.2,Extraction of natural gas,group:06.2,division:06,B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.2,Extraction of natural gas,,,B | 06 | 06.2,MINING AND QUARRYING | Extraction of crude petroleum and natural gas | Extraction of natural gas,71
4,class,06.20,Extraction of natural gas,class:06.20,group:06.2,B,MINING AND QUARRYING,06,Extraction of crude petroleum and natural gas,06.2,Extraction of natural gas,06.20,Extraction of natural gas,B | 06 | 06.2 | 06.20,MINING AND QUARRYING | Extraction of crude petroleum and natural gas | Extraction of natural gas | Extraction of natural gas,72
2,division,07,Mining of metal ores,division:07,section:B,B,MINING AND QUARRYING,07,Mining of metal ores,,,,,B | 07,MINING AND QUARRYING | Mining of metal ores,73
3,group,07.1,Mining of iron ores,group:07.1,division:07,B,MINING AND QUARRYING,07,Mining of metal ores,07.1,Mining of iron ores,,,B | 07 | 07.1,MINING AND QUARRYING | Mining of metal ores | Mining of iron ores,74
4,class,07.10,Mining of iron ores,class:07.10,group:07.1,B,MINING AND QUARRYING,07,Mining of metal ores,07.1,Mining of iron ores,07.10,Mining of iron ores,B | 07 | 07.1 | 07.10,MINING AND QUARRYING | Mining of metal ores | Mining of iron ores | Mining of iron ores,75
3,group,07.2,Mining of non-ferrous metal ores,group:07.2,division:07,B,MINING AND QUARRYING,07,Mining of metal ores,07.2,Mining of non-ferrous metal ores,,,B | 07 | 07.2,MINING AND QUARRYING | Mining of metal ores | Mining of non-ferrous metal ores,76
4,class,07.21,Mining of uranium and thorium ores,class:07.21,group:07.2,B,MINING AND QUARRYING,07,Mining of metal ores,07.2,Mining of non-ferrous metal ores,07.21,Mining of uranium and thorium ores,B | 07 | 07.2 | 07.21,MINING AND QUARRYING | Mining of metal ores | Mining of non-ferrous metal ores | Mining of uranium and thorium ores,77
4,class,07.29,Mining of other non-ferrous metal ores,class:07.29,group:07.2,B,MINING AND QUARRYING,07,Mining of metal ores,07.2,Mining of non-ferrous metal ores,07.29,Mining of other non-ferrous metal ores,B | 07 | 07.2 | 07.29,MINING AND QUARRYING | Mining of metal ores | Mining of non-ferrous metal ores | Mining of other non-ferrous metal ores,78
2,division,08,Other mining and quarrying,division:08,section:B,B,MINING AND QUARRYING,08,Other mining and quarrying,,,,,B | 08,MINING AND QUARRYING | Other mining and quarrying,79
3,group,08.1,"Quarrying of stone, sand and clay",group:08.1,division:08,B,MINING AND QUARRYING,08,Other mining and quarrying,08.1,"Quarrying of stone, sand and clay",,,B | 08 | 08.1,"MINING AND QUARRYING | Other mining and quarrying | Quarrying of stone, sand and clay",80
4,class,08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",class:08.11,group:08.1,B,MINING AND QUARRYING,08,Other mining and quarrying,08.1,"Quarrying of stone, sand and clay",08.11,"Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",B | 08 | 08.1 | 08.11,"MINING AND QUARRYING | Other mining and quarrying | Quarrying of stone, sand and clay | Quarrying of ornamental and building stone, limestone, gypsum, chalk and slate",81
4,class,08.12,Operation of gravel and sand pits; mining of clays and kaolin,class:08.12,group:08.1,B,MINING AND QUARRYING,08,Other mining and quarrying,08.1,"Quarrying of stone, sand and clay",08.12,Operation of gravel and sand pits; mining of clays and kaolin,B | 08 | 08.1 | 08.12,"MINING AND QUARRYING | Other mining and quarrying | Quarrying of stone, sand and clay | Operation of gravel and sand pits; mining of clays and kaolin",82
3,group,08.9,Mining and quarrying n.e.c.,group:08.9,division:08,B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.,,,B | 08 | 08.9,MINING AND QUARRYING | Other mining and quarrying | Mining and quarrying n.e.c.,83
4,class,08.91,Mining of chemical and fertiliser minerals,class:08.91,group:08.9,B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.,08.91,Mining of chemical and fertiliser minerals,B | 08 | 08.9 | 08.91,MINING AND QUARRYING | Other mining and quarrying | Mining and quarrying n.e.c. | Mining of chemical and fertiliser minerals,84
4,class,08.92,Extraction of peat,class:08.92,group:08.9,B,MINING AND QUARRYING,08,Other mining and quarrying,08.9,Mining and quarrying n.e.c.,08.92,Extraction of peat,B | 08 | 08.9 | 08.92,MINING AND QUARRYING | Other mining and quarrying | Mining and quarrying n.e.c. | Extraction of peat,85
